Gender,GivenName,MiddleInitial,Surname,TropicalZodiac,Occupation,BloodType
male,Clarence,R,Johnson,Leo,"Occupational social worker",AB+
female,Veronica,A,Rivas,Aquarius,"Ceiling tile installer",B+
male,Bruce,J,Man,Virgo,"Forest and conservation worker",A+
male,David,C,Raines,Pisces,"Nurse administrator",A-
female,Patty,R,Atkins,Leo,"Veterinary assistants and laboratory animal caretaker",O+
female,Yvonne,R,Morneau,Sagittarius,"Information security specialist",O-
female,Stephanie,G,Archie,Virgo,"Pump operator",B+
male,Jerry,L,Moon,Capricorn,Dispatcher,B-
female,Marie,J,Williams,Cancer,Exterminator,O+
male,Leroy,J,McCoy,Scorpio,"Vending machine servicer",O+
female,Fannie,J,Winn,Taurus,"Aircraft and avionics service technician",B+
female,Laura,L,Gallegos,Libra,"Extruding, forming, pressing, and compacting machine setter",A+
female,Emma,E,Carpenter,Taurus,Shaper,A+
female,Faye,C,Cummings,Scorpio,"Automotive glass installer",O+
male,Corey,L,Harris,Aries,"Conference interpreter",B-
female,Mary,M,Battle,Gemini,"Kindergarten teacher",O+
female,Jennifer,J,Kahn,Gemini,"Personnel administrator",O+
female,Lorraine,C,Gregory,Virgo,"Education and training manager",O+
male,Ray,G,Atwell,Cancer,"Construction engineer",A+
male,Douglas,P,Traub,Aries,"Lathe and turning machine tool setter",O+
male,Ricardo,J,Jones,Taurus,"Ophthalmic nurse",O+
male,William,R,Baird,Aquarius,"Mining and geological engineer",A+
female,Courtney,J,Ocasio,Aquarius,Sportscaster,O+
male,Kenneth,C,Wilkinson,Taurus,"Multiple machine tool setter",O+
female,Nancy,P,Vaughan,Libra,"Business support assistant",O+
male,Stephen,T,Horta,Virgo,"CT technologist",A+
male,Roger,J,Clark,Scorpio,"Assistant cook",O-
female,Sarah,M,Sanchez,Capricorn,"Railroad switch operator",B+
male,John,C,Jefferson,Aquarius,"Procurement technician",A+
female,Judy,A,Blankenship,Libra,"Statistical assistant",O+
female,Doris,R,Degregorio,Cancer,Groundskeeper,O+
male,Antoine,C,Webb,Gemini,"Insurance broker",O+
female,Eva,A,Erickson,Virgo,"Extruding and drawing machine setters",B+
male,Michael,J,Washington,Aries,"Nuclear engineer",B-
male,Alan,E,Joyner,Libra,"Funeral manager",O+
male,Michael,L,Crowe,Capricorn,"Network and computer systems administrator",A+
male,Howard,G,Banker,Taurus,"Public health dentist",B+
female,Sherri,B,Brodeur,Capricorn,"Gas pumping station operator",A+
female,Juliet,P,Morneau,Cancer,"Demographic economist",O+
female,Kathleen,T,Morris,Aries,Pharmacist,B+
male,John,G,McKernan,Capricorn,"Fashion designer",A+
female,Thelma,R,Layton,Pisces,"Optical goods worker",A+
female,Jessica,S,May,Taurus,"Tower controller",O+
female,Edith,J,Clark,Libra,"Custom inspector",O+
male,James,R,Johnson,Leo,"Resort desk clerk",A+
male,Bradley,A,Seymore,Virgo,Etcher,B+
male,Todd,H,Valenzuela,Cancer,"Animal control officer",A+
male,John,D,Aden,Capricorn,"Dog trainer",B+
female,Geneva,J,Hunt,Taurus,"Construction millwright",A+
male,John,M,Brooks,Taurus,"Field technician",B-
male,Michael,N,Gaines,Pisces,"INS agent",A+
female,Diane,C,Fauver,Sagittarius,"Admitting interviewer",O-
female,Teri,D,Bloomfield,Libra,"Aircraft electronics technician",O-
female,Jane,J,Frank,Virgo,"Enrollment specialist",A-
male,John,B,Cleveland,Scorpio,"Explosives worker",A+
female,Patricia,J,Doucette,Capricorn,"Journeymen lineman",A+
female,Kristina,J,Lewis,Cancer,"Video control engineer",A+
female,Paula,S,Smart,Virgo,"Building construction estimator",O+
female,Kimberly,K,Johnson,Aquarius,"Animal control worker",O+
female,Pam,J,Litton,Scorpio,"Hydrographic surveyor",O+
male,Jimmy,M,Pease,Gemini,"Ticket seller",B+
female,Margaret,N,Mathis,Scorpio,"Management information systems director",A-
male,William,J,Escarcega,Aries,Rancher,O+
male,Gregory,J,Legrand,Cancer,"Loan underwriter",B+
male,Justin,M,Snyder,Cancer,"General trial court judge",O+
female,Claire,N,Ellingson,Virgo,"Tool and die maker",A-
female,Meghan,M,Schneider,Aries,"Labor economist",O+
female,Rosa,A,Novotny,Libra,Estimator,O+
male,Michael,P,Cooper,Taurus,"Labor training manager",A+
female,Kimberly,J,Bissett,Virgo,"Hand typesetter",O+
female,Carolyn,E,Ladd,Aquarius,"Cargo and freight agent",B+
male,Billy,S,Knight,Scorpio,"Sports official",B+
male,Douglas,S,Rodriquez,Pisces,"Management consultant",O+
male,Howard,V,Taylor,Libra,"Respiratory therapist",B+
female,Michelle,S,Burns,Pisces,"Human services manager",B+
male,Michael,V,Shafer,Aries,"Agricultural engineer",B+
female,Patricia,T,Francois,Leo,"Monetary economist",O+
female,Peggy,V,Lamb,Pisces,Farmer,O+
female,Heather,W,Nolen,Virgo,"Recruitment manager",A+
male,Scotty,E,Mazurek,Virgo,"Building inspector",B+
male,Ronnie,M,Emmons,Cancer,"Outdoor power equipment mechanic",A-
female,Rebecca,J,Taylor,Sagittarius,"Head hunter",O+
female,Alma,G,Edwards,Taurus,"Building construction estimator",O+
male,Lynn,B,Johnson,Aries,"Posting clerk",A+
male,Floyd,K,Rogers,Taurus,"Engineering and natural sciences manager",A+
male,James,M,Elliott,Cancer,"Personal financial advisor",A+
male,Benjamin,T,Cook,Scorpio,"Bureau of Diplomatic Security special agent",B+
male,Joshua,R,Fuller,Libra,"First mate",O+
male,Sean,C,Peer,Aries,"Line repairer",B-
female,Aurora,S,Adams,Aquarius,"Tree trimmer",B+
female,Lela,R,Levay,Capricorn,"Sports book writer",A+
female,Linda,D,Lee,Pisces,"Diesel train engineer",O+
female,Pamela,J,Ferguson,Sagittarius,Meatcutter,B+
female,Donna,J,Emerson,Virgo,"Bonus clerk",O+
male,Kendall,L,Wilson,Leo,"Family practitioner",O+
male,Anthony,D,Davis,Cancer,"Broadcast and sound engineering technician",A+
female,Louise,J,Bridges,Libra,"Safety specialist",AB+
female,Joni,K,Brown,Sagittarius,"Patient representative",B+
female,Rhonda,S,Rubin,Pisces,"Medical appliance technician",B+
female,Joanne,J,Sanders,Gemini,"Electrical and electronics repairer",O+
female,Maria,T,Bender,Scorpio,"EEO officer",O+
female,Victoria,G,Moss,Libra,"Clinical social worker",A+
male,Bradley,M,Fragoso,Pisces,"Excavating operator",B+
male,Raymond,E,Murray,Gemini,"Condominium association manager",A+
male,Frank,S,Ritchie,Gemini,"Refuse and recyclable material collector",A+
male,Travis,C,Koonce,Virgo,"Print binding and finishing worker",O+
female,Deborah,A,Cripps,Aquarius,"Excavating operator",O+
male,William,M,Borel,Cancer,"Administrative leader",A+
female,Barbara,J,Whitfield,Aries,"Fashion designer",B+
female,Caitlyn,D,Huber,Cancer,"Payroll coordinator",A+
male,Robert,P,Dory,Taurus,"Watch repairer",O+
male,Robert,C,Lucky,Leo,"Garment presser",O-
male,Bobby,M,Guy,Aquarius,"Lathe and turning machine tool setter",O-
female,Jessia,M,Sarvis,Aquarius,"Loan clerk",A+
female,Maria,S,Taylor,Scorpio,Recruiter,B+
female,Cindy,S,Tidd,Capricorn,"Athletic training instructor",A-
male,Tod,H,Nelson,Capricorn,"Paper goods machine setter",A-
male,John,B,Berry,Sagittarius,Interpreter,O+
female,Theresa,M,Dark,Gemini,Drafter,O+
male,Chris,T,Goodman,Cancer,"Educational counselor",O+
male,Robert,L,Delozier,Taurus,"Lathe and turning machine tool setter",B+
male,Brian,B,Thomas,Aries,"Remote sensing specialist",A+
female,Jacqueline,R,Leming,Taurus,"Law clerk",A-
male,Alonzo,S,Lopez,Libra,"Process technician",AB+
male,Clayton,K,Farmer,Leo,"Tractor driver",A+
female,Elizabeth,J,Villareal,Virgo,"Clerical worker supervisor",B+
female,Nancy,A,Hartman,Cancer,"Computer forensic investigator",O+
female,Teresa,A,Gregory,Capricorn,"Power lineman",A+
female,Julia,P,Hodges,Taurus,"Mixing and blending machine operator",B+
male,Shaun,M,Hughes,Scorpio,"Leather worker",B+
female,Stephanie,A,Cloyd,Pisces,Lyricist,O+
female,Carol,C,Walker,Capricorn,Butcher,B+
female,Gail,D,Patton,Virgo,"Technical trainer",O+
male,Carl,S,Butler,Capricorn,"Training and development coordinator",A+
male,Todd,D,Moore,Scorpio,Commentator,AB+
male,Keith,A,Jones,Taurus,"Government auditor",B+
male,Eric,M,Doherty,Aries,"Industrial machinery mechanic",O+
female,Stacey,S,Hinds,Taurus,"Employer relations representative",O+
female,Mary,K,Hanlon,Sagittarius,"Precision printing worker",O+
female,Rhonda,A,Powell,Aquarius,"Mortgage loan officer",B+
male,Otis,T,Oliver,Leo,"Computer systems analyst",B+
male,Warren,S,Alexander,Aries,"Tumbling barrel painter",A+
male,Jeffrey,A,Spooner,Aquarius,Librarian,O+
male,Terry,B,Plant,Sagittarius,"Cutting and slicing machine operator",B+
male,Roger,L,Baker,Taurus,Beautician,O+
female,Catherine,C,Henson,Gemini,Biostatistician,B+
male,Keith,P,Given,Libra,"Oral and maxillofacial radiologist",A+
male,Kevin,E,Shipman,Gemini,"Metal-refining furnace tender",B+
male,Thomas,M,Meyer,Gemini,Obstetrician,A-
female,Helen,G,Brown,Pisces,"Developmental disabilities nurse",A-
female,Edith,A,Whitley,Cancer,"Automated systems librarian",A+
female,Jane,E,Silva,Pisces,"Library technical assistant",A+
male,Harley,E,McWhorter,Sagittarius,Ironworker,O+
female,Luz,D,Starks,Scorpio,Silversmith,B-
male,Eric,M,Payne,Taurus,"Payroll technician",O+
female,Shena,M,Melton,Sagittarius,"Eligibility interviewer",AB+
female,Joann,D,Wilson,Virgo,"Head hunter",A+
male,Phillip,L,Mendez,Gemini,Paralegal,B+
female,Kimberly,K,McDuffie,Taurus,"Physical metallurgical engineer",B+
female,Donna,R,Dillard,Capricorn,Statistician,B+
male,Erick,P,Fermin,Libra,"Horticultural specialty farmer",O+
male,Rob,L,Esparza,Sagittarius,"Ticket seller",O+
male,Floyd,H,Vega,Virgo,"Water transportation occupation",O+
female,Vera,T,Coats,Scorpio,"Substance abuse social worker",AB+
female,Heather,L,Williams,Cancer,"Practical nurses",A+
female,Sharon,J,Deschenes,Sagittarius,"Mine examiner",O+
male,Steven,M,Suarez,Sagittarius,"Sales engineer",A+
male,Herman,C,Rapp,Cancer,"Practical nurses",O+
female,Jackie,D,Weis,Cancer,"Accounting clerk",O+
male,Jeremy,N,Mack,Aquarius,"School teacher",A+
male,Dwight,K,Martin,Aries,"Education and development manager",AB+
female,Shirley,J,Scott,Pisces,"Aircraft surfaces assembler",A-
female,Doris,D,Anderson,Libra,Ecologist,A+
female,Kasie,G,Wood,Virgo,"Job binding worker",A-
female,Sandra,R,Barga,Gemini,"PBX operator",O+
female,Lisa,T,Stephenson,Libra,"Amusement machine repairer",B+
male,Rolando,C,Scriber,Pisces,"Sewing machine operator",B+
male,Jeremy,H,Gray,Gemini,"Power transformer repairer",AB+
female,Freda,T,Rodriguez,Aquarius,Geoscientist,A+
male,Jayson,C,Borst,Cancer,"Clinical dietitian",O+
male,Clark,E,West,Leo,Mason,O+
male,Angelo,E,Pickens,Libra,"Safety specialist",A+
female,Patricia,A,Dobson,Scorpio,"Social psychologist",B+
female,Teresa,W,Thornton,Libra,Repairer,O+
female,Maria,A,Ventimiglia,Cancer,"Addictions nurse",A+
male,Samuel,S,Waters,Leo,Assembler,O+
male,Erik,P,Flowers,Taurus,"Industrial economist",AB+
female,Alene,J,McPherson,Aries,Blogger,A+
male,Pete,D,Lapointe,Cancer,"Loan counselor",O+
male,Sammy,M,Jackson,Sagittarius,"Personal financial advisor",A-
male,Milford,A,Duncan,Aries,"Property manager",O+
male,Terrell,M,Jackson,Leo,Photographer,B-
female,Darlene,S,Evans,Scorpio,"Marketing research analyst",B+
female,Fern,A,Simpson,Libra,"Dance captain",A+
male,Jack,R,Rangel,Capricorn,Promoter,A+
male,Jason,J,Spence,Scorpio,"Marine surveyor",O+
female,Doris,A,Huntley,Libra,"Office support secretary",A+
female,Kathryn,N,Amador,Libra,"Building cleaning worker",A+
female,Michele,R,Kaufman,Libra,"Construction mechanic",A+
male,Kevin,A,Warwick,Capricorn,"Social and community service manager",A+
male,Clifford,D,Saver,Leo,"Sports instructor",B+
male,Brandon,G,Bryant,Gemini,Paraeducator,B+
female,Sarah,W,Anderson,Taurus,"Lay-out worker",O-
male,Gregory,M,Boykin,Aquarius,"Guitar repairer",A+
male,Steven,L,Meeker,Cancer,"Rolling machine operator",O+
male,Gary,M,Wimbish,Scorpio,"FBI agent",O+
female,Mallory,A,Hawkins,Capricorn,"Training manager",A+
female,Adelina,S,Woodard,Aries,"Dental hygienist",A+
male,John,B,Popovich,Scorpio,"Cardiopulmonary technologist",A+
female,Sandra,D,Andrews,Pisces,"Machine feeder",O+
female,Tillie,J,Glass,Sagittarius,"General trial court judge",O+
female,Cynthia,R,Lessman,Sagittarius,Polisher,O+
male,Arthur,S,Braxton,Scorpio,Sorter,B+
male,Joseph,R,Deloney,Aries,"Payroll specialist",B+
male,Robert,J,Chamness,Virgo,"Information architect librarian",A+
female,Barbara,T,Bess,Pisces,Army,B+
male,Cecil,A,Guerrero,Sagittarius,Stenocaptioner,A+
female,Priscilla,K,Mitchell,Sagittarius,Exterminator,O+
male,John,A,Amador,Taurus,"Plate finisher",B+
male,Joshua,M,Whiten,Gemini,"Cost engineer",B+
female,Doris,S,Stevens,Pisces,"Benefits clerk",AB+
female,Marian,D,Cogdell,Aquarius,"Oxygen therapist",A+
female,Sharon,S,Rodriquez,Taurus,"Fish cleaner",A+
male,Michael,C,Mize,Taurus,"Surfacing equipment operator",B+
female,Stephanie,D,Wagner,Scorpio,"Building superintendent",O+
female,Sandra,S,Porter,Aries,"Human resources manager",O+
female,Carol,N,Smith,Aries,"Attendance clerk",B+
female,Sarah,B,Gray,Aquarius,"Office machine and cash register technician",B+
female,Emily,T,Lerma,Aquarius,"Horticultural specialty farmer",B+
female,Signe,D,Cross,Capricorn,Detective,B+
female,Emma,P,Perkins,Aquarius,Compositor,O+
male,Jay,P,Bolinger,Taurus,Principal,B+
female,Teresa,H,Bertrand,Taurus,"Gaming dealer",B+
female,Karen,D,Hafford,Sagittarius,"Promotions specialist",A+
male,Joel,K,McKinney,Leo,"Environmental meteorologist",A+
female,Annette,J,Bowman,Libra,"Plating and coating machine tender",O+
male,David,D,Roberts,Capricorn,"Pharmacy technician",B+
female,Barbara,M,Stevenson,Gemini,"Drywall installer",B+
female,Jennifer,S,Buck,Scorpio,"Composing machine operator",B+
female,Kathryn,J,Robinson,Libra,"Forming machine operator",O+
female,Gina,C,Gonzales,Taurus,"Punch card operator",O+
female,Cathy,C,Presler,Taurus,"General superintendent",O+
male,Thomas,S,McKenzie,Aries,"Medical interpreter",O+
female,Tiffany,R,West,Gemini,"Mortgage broker",A-
female,Kendal,S,Jackson,Gemini,"Claims investigator",O+
female,Arielle,A,Grant,Cancer,"Power lineman",B+
male,Anthony,M,Pettit,Gemini,"Weather forecaster",A+
female,Kathleen,C,Deveau,Scorpio,"Social work policy maker",B+
female,Lindsey,R,Stevenson,Cancer,"Applications engineer",A+
male,Randell,A,Catron,Sagittarius,"Executive secretary",O+
male,Earl,G,Rife,Pisces,"Expediting clerk",B+
male,Wesley,M,Ward,Virgo,"Publicity writer",O+
female,Heidi,D,Bedoya,Sagittarius,Housekeeper,O+
male,Fernando,D,Tann,Leo,"Health educator",A+
male,Francisco,F,Tabor,Gemini,Airman,O-
female,Erica,M,Pringle,Cancer,"Employment clerk",B+
female,Kristin,J,Curtis,Sagittarius,"Electrical and electronics installer",B+
male,Dennis,C,Sharp,Cancer,"Medical technologist",O+
female,Claire,R,Baden,Gemini,"Physical geographer",B+
male,Thurman,N,Wilson,Capricorn,Maid,B+
male,Gabriel,R,Pope,Libra,"Medical doctor",O+
male,Robert,D,Goins,Leo,"Small engine service technician",A+
male,Dean,W,Gilley,Libra,"Research chef",A+
male,John,B,Sampson,Leo,"Delivery service driver",A+
female,Valerie,R,Sanchez,Libra,"Publication assistant",B+
male,Kelvin,N,Lawson,Virgo,"Oncology nurse",A+
male,Francis,G,Stanley,Scorpio,Hunter,O+
male,Jacob,L,Smith,Leo,"Material moving occupation",B+
male,Brian,D,Brown,Sagittarius,"Heavy vehicle and mobile equipment service technician",A+
female,Patricia,R,Lewis,Aquarius,"Diesel mechanic",O+
male,Michael,T,Smith,Virgo,"Radio and telecommunications equipment repairer",O+
female,Eda,J,Concepcion,Leo,"Personnel development specialist",O+
male,Jacob,M,Towne,Gemini,"Geological engineer",O+
female,Carol,E,Hall,Aries,Postmaster,B+
female,Milagros,J,Williams,Gemini,Chauffeur,A+
female,Grace,J,Pierce,Sagittarius,"Electronic masking system operator",A-
female,Laura,J,Delaney,Virgo,Mechanic,O+
male,Richard,R,Keeton,Libra,"Supply manager",B+
male,Ron,S,Jackson,Taurus,"Medical records and health information technician",A+
male,Bruce,E,Elliott,Sagittarius,"Ship engineer",O+
male,Rodney,A,Drumm,Pisces,"Cutting and slicing machine operator",O-
female,Breanne,D,Jordan,Capricorn,"Baggage porter",A+
male,Ronnie,M,Forest,Leo,Director,A+
female,Shanna,T,Bennett,Aquarius,"Drug Enforcement Administration (DEA) agent",O+
female,Gloria,L,Hiller,Capricorn,"Machinery maintenance mechanic",A+
male,Oliver,C,Cintron,Scorpio,"Skills training coordinator",A+
male,Miguel,P,Raines,Leo,"Soil scientist",O-
female,Rebecca,M,Coates,Cancer,"Cardiac and vascular nurse",O-
female,Elizabeth,C,Martinez,Leo,"Placement officer",O+
male,Donald,T,Green,Taurus,"Metal-refining furnace tender",O+
female,Nancy,D,Hatcher,Virgo,Climatologist,O+
female,Christy,J,Vance,Aries,Stereotyper,O+
male,James,J,Lucas,Aquarius,"Electrical and electronics repairer",A+
male,James,L,Lopez,Pisces,"Shoe machine tender",O+
male,Gregory,D,Hayes,Pisces,President,AB-
male,Eugene,M,Burt,Aries,"Front desk receptionist",A+
male,Harry,D,McDonald,Leo,"Family therapist",B+
male,Jeremy,A,McKoy,Capricorn,Administrator,O+
male,James,T,Stine,Gemini,"Mental health social worker",A+
female,Shirley,G,Herrera,Cancer,"High school counselor",A+
male,Jeffrey,C,Lawson,Gemini,"Control room operator",AB+
male,Roger,E,Grubbs,Pisces,"Freight agent",A+
male,Gilberto,M,Cunningham,Capricorn,"Animal breeder",B+
male,Earl,C,James,Gemini,"Construction manager",O+
female,Joanne,R,Graves,Gemini,Econometrician,B+
female,Deanne,A,Ramirez,Sagittarius,"Power plant distributor",A+
female,Virginia,R,Barnett,Scorpio,"Rehabilitation nurse",O+
male,David,M,Hopkins,Taurus,Esthetician,B+
male,Ira,M,Kammer,Sagittarius,"Automotive glass installer",O+
female,Doreen,J,Brown,Aries,"Residential electrician",B+
male,Derek,M,Allen,Libra,"Human resources information system specialist",O+
male,Robert,R,Ellis,Scorpio,"Winch operator",B+
male,Kevin,A,Taylor,Gemini,"Coil finisher",O-
male,Homer,N,Scott,Aquarius,"Machine feeder",B+
male,Edward,K,Perez,Virgo,"Show host",O+
female,Emma,R,Knott,Gemini,"Office administrator",A+
female,Terri,D,Sutton,Cancer,"News correspondent",O+
male,Donald,T,Lucas,Cancer,"Administrative officer",AB+
female,Mary,D,McCollom,Aquarius,"Job binding worker",O+
female,Doris,D,Jimmerson,Pisces,"Case management aide",A+
female,Britta,R,Diehl,Capricorn,"Journeymen lineman",A+
female,Catherine,R,Ness,Gemini,"Aircraft and avionics equipment mechanic",O+
female,Stephanie,R,Crawford,Sagittarius,Mediator,A+
female,Cassandra,E,Spaulding,Aquarius,Mineralogist,O+
female,Stephanie,H,Barry,Cancer,"Plant operator",B+
male,Brian,C,Spencer,Sagittarius,Cabinetmaker,A+
female,Patricia,F,Benjamin,Sagittarius,"Apartment manager",B+
male,Herbert,C,Judd,Taurus,"Welding machine operator",O+
male,Paul,P,Albert,Leo,"Revenue officer",O+
female,Peggy,J,Brandes,Capricorn,"Costume designer",A+
male,Edward,H,Frederick,Virgo,"County court judge",A+
female,Lee,K,Ireland,Sagittarius,Bricklayer,B+
male,Samuel,N,Dean,Capricorn,Demographer,A-
male,Raymond,P,Kerry,Leo,Editor,O+
male,Phillip,S,Clemons,Cancer,"Aircraft structure assembler",B+
female,Mitsuko,M,Velazquez,Taurus,"Grief counselor",B+
male,Tomas,A,Coleman,Leo,"Aerospace engineer",B+
male,Dustin,A,Smith,Capricorn,"Medical appliance technician",O+
female,Megan,M,Johnson,Taurus,"Clinical manager",AB+
female,Jennifer,M,Butler,Libra,"Public works inspector",A-
male,Elmer,L,Watson,Sagittarius,"Office assistant",AB+
male,Marcus,V,Jarmon,Scorpio,Cryptanalyst,B+
female,Danielle,J,Moody,Scorpio,"Employment recruiter",O+
male,Trenton,D,Baber,Libra,"Composing machine tender",A+
female,Marsha,T,Hennessy,Cancer,"Bookkeeping clerk",O+
male,Harold,M,Felton,Gemini,"Information security specialist",O+
male,John,S,Clarke,Taurus,"Chief technology officer",B+
female,Kathy,B,Parker,Virgo,"Milling and planing machine setter",O+
female,Angela,K,Nolen,Gemini,"Concrete finisher",B+
male,Nicholas,A,Arnold,Leo,"Employee relations manager",O+
female,Mary,R,Perry,Scorpio,"Natural sciences manager",O+
male,Scott,S,Beran,Aquarius,"Agricultural and food science technician",O+
female,Minnie,J,Ivey,Sagittarius,"Water transportation mate",B+
male,David,E,Harris,Virgo,"News analyst",B+
male,James,M,Burns,Scorpio,"Telephone operator",A+
male,Steven,I,Kist,Cancer,"Astronautical engineer",A+
female,Maria,J,Ferreira,Aries,"Immigration and Naturalization Service (INS) agent",O+
male,Gary,J,Santos,Pisces,"Training consultant",B+
female,Marjorie,C,Jones,Sagittarius,Taper,A+
male,Antonio,D,Tillman,Virgo,"Executive chef",A-
female,Adrienne,C,Wade,Sagittarius,"Clinical dietitian",A+
female,Linda,B,Greene,Gemini,"Employee placement specialist",O+
female,Clara,A,Schuldt,Cancer,"Material moving occupation",O+
female,Martha,E,Jensen,Taurus,"Material moving occupation",O+
female,Jessica,C,Chang,Cancer,"International human resources manager",O+
female,Karen,R,Howard,Leo,"Airport terminal controller",O+
female,Brenda,R,Moloney,Aquarius,"Rail-track laying and maintenance equipment operator",AB+
male,Charles,C,Kreutzer,Cancer,"Activity specialist",A+
female,Alessandra,M,Hill,Cancer,"Payroll coordinator",AB+
female,Patricia,G,Williams,Aries,"Aircraft structure assembler",O+
female,Cathy,R,Aranda,Cancer,"Career counselor",O+
female,Myrna,A,Sommer,Cancer,"Police officer",AB+
female,Carmen,J,Taylor,Cancer,Manufacturers,O+
female,Jody,E,Dixon,Cancer,Glazier,O+
male,Gilbert,P,Fyfe,Sagittarius,Butcher,B+
male,Chester,C,Webber,Aquarius,"Transmission technician",O+
male,Kenneth,J,Torres,Taurus,"Home care aide",B+
female,Amy,F,Kogan,Virgo,"Parking lot attendant",B+
male,Richard,J,Brunette,Pisces,"Prosthetics technician",B+
female,Angela,A,Craig,Capricorn,"Career-technology teacher",A+
male,Jimmy,L,Matteo,Libra,"Accounts receivable clerk",O-
female,Brenda,B,Briggs,Sagittarius,Mason,O-
male,Michael,L,Morrison,Aries,"Shipping, receiving, and traffic clerk",B+
male,Michael,E,Barbee,Cancer,"Film processing technician",A+
male,William,C,Loyd,Capricorn,Macroeconomist,A+
male,Elbert,R,Hampton,Gemini,"Curriculum specialist",AB-
male,Matthew,G,Patterson,Sagittarius,"Radiologic nurse",AB+
male,John,L,Schmidt,Libra,"Textile bleaching and dyeing machine operator",O+
female,Andrea,J,Edwards,Libra,Shampooer,A+
female,Ashley,W,Snider,Capricorn,"Slot key person",A+
female,Allie,D,Shirley,Pisces,"Footwear and accessory designer",B+
male,Victor,N,Wilson,Aquarius,Promoter,A+
female,Penny,W,Joe,Leo,"Internet developer",O+
female,Donna,E,Wyatt,Leo,Marine,O+
female,Janet,G,Nichols,Gemini,"Tank car, truck, and ship loader",O+
male,Howard,M,Flynn,Scorpio,"Employment assistant",O+
female,Pearlie,P,Smith,Gemini,"Instructional aide",A+
male,Danny,M,Fontenot,Cancer,"Clinical laboratory technician",O+
male,Bruce,A,Dennis,Scorpio,Linemen,O+
male,Frank,C,Klein,Virgo,"Office manager",O-
female,Frances,C,Torres,Virgo,Firefighter,B+
male,David,J,Ash,Scorpio,Neurosonographer,A+
female,Cathy,J,Hayman,Pisces,"Pumping station operator",A+
female,Kaci,C,Wright,Aquarius,"Convention planner",O+
female,Laura,J,McDaniel,Sagittarius,"Office and administrative support worker manager",O+
female,Elmira,J,Fowler,Capricorn,"Building cleaning worker",AB+
female,Kelley,G,Rivera,Virgo,"Sports instructor",O+
female,Wendy,R,Eilerman,Cancer,"Precision instrument and equipment repairer",A+
male,Mark,L,Hill,Aquarius,"Snowmobile mechanic",A-
male,Paul,S,Burkley,Sagittarius,"Management consultant",B+
female,Tracy,A,Pratt,Pisces,Sewer,O+
male,Kenneth,S,Hardin,Gemini,"Closed captioner",B+
female,Alice,J,Langley,Capricorn,"Corporate trainer",B+
female,Laura,B,Hunt,Pisces,"Industrial photographer",A+
female,Ruth,F,Giron,Capricorn,"Credit counselor",O+
male,Tyler,T,Rice,Sagittarius,"Accounting clerk",O+
female,Gail,H,Pullins,Cancer,"Dredge operator",O+
female,Lillian,J,Ramsay,Aries,Webmaster,O+
female,Holly,J,Mitchell,Pisces,"Taxicab dispatcher",O+
male,Manuel,C,Thompson,Aries,"Corporate recruiter",O+
male,Larry,S,Ridgeway,Aries,"Segmental paver",O+
female,Kathleen,C,Huitt,Capricorn,Babysitter,A+
female,Kathryn,E,Gunter,Cancer,"Truck dispatcher",B-
female,Patrice,G,Balzer,Taurus,"Word processor",O+
male,Clarence,J,Baker,Gemini,"Airbrush artist",O+
male,Howard,C,Henderson,Pisces,"Information security specialist",B+
male,Dennis,S,Scott,Libra,"Health physicist",A-
female,Amber,M,Mercer,Taurus,"Vascular technologist",A+
female,Mary,N,Rotella,Virgo,"Machine operator",O+
female,Bonnie,M,Jordon,Taurus,"Cardiopulmonary technologist",O+
female,Teresa,W,Hughes,Virgo,Ironworker,A+
female,Emma,D,Hix,Leo,"Water resources engineer",AB+
female,Jennifer,L,Erwin,Sagittarius,"Top executive",O+
female,Joyce,G,Quinones,Libra,"Decommissioning and decontamination (D&D) worker",O+
female,Linda,R,Jenkins,Aquarius,"Door-to-door sales worker",A+
male,Joseph,M,Cozart,Gemini,"LAN administrator",O+
male,Willie,J,Morales,Gemini,"Land acquisition specialist",O+
female,Ernestine,B,Welch,Taurus,"Head hunter",A+
male,Felipe,B,Jackson,Aries,"Optical mechanic",B+
female,Ebony,B,Acton,Aries,"Composing machine tender",O-
male,Wayne,S,Richey,Pisces,Singer,O+
female,Patricia,M,Cowen,Virgo,"Pharmacy technician",A+
male,Raymond,W,Marrero,Gemini,"Scientific illustrator",O+
male,Rodney,E,Trussell,Pisces,"Refractory mason",B+
male,Charles,B,Newberry,Scorpio,"Technical education teacher",A+
female,Connie,J,Stebbins,Scorpio,"Microchip processor",B+
female,Betty,W,Lapointe,Cancer,"Maitre d",A+
female,Cheryl,N,Dare,Sagittarius,"Office clerk",A+
female,Sandra,F,Carroll,Aquarius,"Marketing manager",O+
female,Heather,B,Long,Scorpio,"Job placement officer",A+
female,Esperanza,P,Keever,Scorpio,"En route controller",B+
male,James,A,Roberts,Virgo,"Food cooking machine operator",A-
female,Filomena,M,Kinyon,Gemini,"Office administrative assistant",O+
male,Christopher,T,Halstead,Taurus,Photographer,O+
female,Suzanne,W,Beck,Capricorn,"Conservation forester",A+
male,Thomas,E,Macintyre,Virgo,"Paper goods operator",O+
male,Christopher,K,Martin,Pisces,Laborer,O+
female,Erica,J,Dahl,Virgo,"Arc cutter",AB+
